QUAL	[2]id	[3]Quality	[4]number of SNPs	[5]number of transitions (1st ALT)	[6]number of transversions (1st ALT)	[7]number of indels
QUAL	0	735	18	6	8	1
QUAL	0	736	16	8	4	1
QUAL	0	737	12	7	1	0
QUAL	0	738	23	8	3	1
QUAL	0	739	14	4	3	3
QUAL	0	740	21	12	7	2
QUAL	0	741	17	3	9	1
QUAL	0	742	18	7	8	0
QUAL	0	743	18	10	3	2
QUAL	0	744	15	8	4	1
QUAL	0	745	16	7	4	0
QUAL	0	746	9	5	3	2
QUAL	0	747	19	7	7	1
QUAL	0	748	15	5	6	1
QUAL	0	749	22	3	10	5
QUAL	0	750	19	6	9	0
QUAL	0	751	13	4	6	1
QUAL	0	752	16	7	5	1
QUAL	0	753	21	9	6	2
QUAL	0	754	17	7	5	0
QUAL	0	755	13	4	5	0
QUAL	0	756	19	6	6	0
QUAL	0	757	19	12	5	0
QUAL	0	758	20	8	8	1
QUAL	0	759	12	4	2	3
QUAL	0	760	17	4	5	1
QUAL	0	761	20	9	7	1
QUAL	0	762	13	7	4	0
QUAL	0	763	16	7	4	2
QUAL	0	764	17	6	5	0
QUAL	0	765	16	8	5	0
QUAL	0	766	17	6	6	2
QUAL	0	767	16	4	9	1
QUAL	0	768	25	15	4	1
QUAL	0	769	20	9	7	2
QUAL	0	770	13	7	2	1
QUAL	0	771	15	4	3	0
QUAL	0	772	20	8	10	1
QUAL	0	773	11	4	4	1
QUAL	0	774	24	5	12	0
QUAL	0	775	16	6	6	1
QUAL	0	776	17	5	5	0
QUAL	0	777	11	3	4	0
QUAL	0	778	17	5	2	2
QUAL	0	779	13	5	5	1
QUAL	0	780	13	5	5	3
QUAL	0	781	17	5	5	0
QUAL	0	782	16	9	6	2
QUAL	0	783	17	5	6	1
QUAL	0	784	18	9	8	1
QUAL	0	785	16	4	8	2
QUAL	0	786	10	4	3	0
QUAL	0	787	12	6	2	0
QUAL	0	788	16	6	5	2
QUAL	0	789	13	3	4	1
QUAL	0	790	9	3	3	1
