DP	[2]id	[3]bin	[4]number of genotypes	[5]fraction of genotypes (%)	[6]number of sites	[7]fraction of sites (%)
DP	0	593	31	0.005152	37	0.043046
DP	0	594	20	0.003324	27	0.031412
DP	0	595	30	0.004986	32	0.037229
DP	0	596	42	0.006980	22	0.025595
DP	0	597	40	0.006648	19	0.022105
DP	0	598	33	0.005485	26	0.030249
DP	0	599	28	0.004654	29	0.033739
DP	0	600	32	0.005318	21	0.024432
DP	0	601	20	0.003324	25	0.029085
DP	0	602	29	0.004820	29	0.033739
DP	0	603	31	0.005152	21	0.024432
DP	0	604	28	0.004654	17	0.019778
DP	0	605	37	0.006149	30	0.034902
DP	0	606	26	0.004321	27	0.031412
DP	0	607	34	0.005651	32	0.037229
DP	0	608	28	0.004654	25	0.029085
DP	0	609	22	0.003656	21	0.024432
DP	0	610	34	0.005651	26	0.030249
DP	0	611	28	0.004654	29	0.033739
DP	0	612	43	0.007147	26	0.030249
DP	0	613	27	0.004487	14	0.016288
DP	0	614	26	0.004321	28	0.032576
DP	0	615	31	0.005152	22	0.025595
DP	0	616	22	0.003656	25	0.029085
DP	0	617	20	0.003324	21	0.024432
DP	0	618	33	0.005485	26	0.030249
DP	0	619	30	0.004986	28	0.032576
DP	0	620	26	0.004321	25	0.029085
DP	0	621	21	0.003490	24	0.027922
DP	0	622	19	0.003158	27	0.031412
DP	0	623	31	0.005152	19	0.022105
DP	0	624	29	0.004820	22	0.025595
DP	0	625	37	0.006149	11	0.012798
DP	0	626	39	0.006482	21	0.024432
DP	0	627	22	0.003656	24	0.027922
DP	0	628	27	0.004487	21	0.024432
DP	0	629	27	0.004487	20	0.023268
DP	0	630	38	0.006316	29	0.033739
DP	0	631	25	0.004155	26	0.030249
DP	0	632	22	0.003656	15	0.017451
DP	0	633	32	0.005318	17	0.019778
DP	0	634	19	0.003158	20	0.023268
DP	0	635	29	0.004820	13	0.015124
DP	0	636	28	0.004654	28	0.032576
DP	0	637	27	0.004487	22	0.025595
DP	0	638	31	0.005152	26	0.030249
DP	0	639	23	0.003823	17	0.019778
DP	0	640	36	0.005983	21	0.024432
DP	0	641	18	0.002992	18	0.020941
DP	0	642	33	0.005485	18	0.020941
